id,name,icon,description,category,featured,trending,fullDescription,,link
1,GPM GlobalPiMarket,1.jpg,GPM GlobalPiMarket. The world wide franchise market place. GPM has created your market place under the umbrella of GlobalPiMarket.,Shopping,TRUE,TRUE,GPM GlobalPiMarket. The world wide franchise market place. GPM has created your market place under the umbrella of GlobalPiMarket.,,https://globalpimarket.pinet.com
2,Piketplace,2.jpg,Buy treasures with Pi. Sell your creations and accept Pi. Deliver and connect our community. Rewarded and PiAds.,Shopping,TRUE,TRUE,Buy treasures with Pi. Sell your creations and accept Pi. Deliver and connect our community. Rewarded and PiAds.,,https://mpiket.pinet.com
3,1 pi Mall,3.jpg,"All goods are purchased by Pi, which supports global pioneers to use pi to purchase goods or services.",Shopping,TRUE,TRUE,"All goods are purchased by Pi, which supports global pioneers to use pi to purchase goods or services.",,https://onepi.pinet.com
4,BSMonPi,4.png,"BSM is an innovative e-commerce,Service platform from India, revolutionizing digital transactions globally by integrating Pi Cryptocurrency",Shopping,TRUE,TRUE,"BSM is an innovative e-commerce,Service platform from India, revolutionizing digital transactions globally by integrating Pi Cryptocurrency",,https://bsmonpi.pinet.com
5,Daabia Mall,5.png,"A web3 e-commerce platform for multiple vendors to sell online and provides a consolidated marketplace for customers, fuel by Pi Payment.",Shopping,TRUE,TRUE,"A web3 e-commerce platform for multiple vendors to sell online and provides a consolidated marketplace for customers, fuel by Pi Payment.",,https://daabiamall.pinet.com
6,Topup Pi,6.png,"TopUp Pi lets you instantly recharge mobiles and buy gift cards with Pi - fast, secure, and within the Pi Network ecosystem.",Shopping,TRUE,TRUE,"TopUp Pi lets you instantly recharge mobiles and buy gift cards with Pi - fast, secure, and within the Pi Network ecosystem.",,https://topuppi.com
7,Watugot,7.png,Watugot allows location based peer to peer trade of items and services in Pi currency or local currencies. Stores can set up profile soon.,Shopping,TRUE,TRUE,Watugot allows location based peer to peer trade of items and services in Pi currency or local currencies. Stores can set up profile soon.,,https://watugot.pinet.com
8,AA314Mall,8.jpg,"Online shopping created by AA314Mall INC
",Shopping,TRUE,TRUE,"Online shopping created by AA314Mall INC
",,https://aamall.pinet.com
9,Fireside,9.jpg,"Fireside Forum is a Web3 social networking app that leverages Pi cryptocurrency, focusing on authentic, tokenomics-driven conversations and meaningful social interactions.",Social Media,TRUE,TRUE,"Fireside Forum is a Web3 social networking app that leverages Pi cryptocurrency, focusing on authentic, tokenomics-driven conversations and meaningful social interactions.",,https://fireside.pinet.com
10,Blind_Lounge,10.jpg,"SNS for verified PI users. Sign up with PI account. Anonymous random chat, sns. Reveal profile only to person you interested in",Social Media,TRUE,TRUE,"SNS for verified PI users. Sign up with PI account. Anonymous random chat, sns. Reveal profile only to person you interested in",,https://nextjs-blindlounge.vercel.app
